Project,BugID,Tool,LineCoverage,BranchCoverage,DetectedBug
Jsoup,7,randoop,0.9875,0.9230769230769231,YES
Jsoup,7,evosuite,0.9875,1.0,NO
Jsoup,8,randoop,0.8201438848920863,0.725,YES
Jsoup,8,evosuite,0.9424460431654677,1.0,YES
Jsoup,9,randoop,N/A,N/A,NO
Jsoup,9,evosuite,N/A,N/A,NO
Jsoup,10,randoop,0.8701298701298701,0.8541666666666666,NO
Jsoup,10,evosuite,0.9155844155844156,1.0,NO
Jsoup,11,randoop,0.3282828282828283,0.21666666666666667,NO
Jsoup,11,evosuite,0.7676767676767676,0.6416666666666667,NO
Jsoup,12,randoop,0.3669724770642202,0.25757575757575757,NO
Jsoup,12,evosuite,0.8944954128440367,0.8409090909090909,NO
Jsoup,13,randoop,0.6391752577319587,0.53125,NO
Jsoup,13,evosuite,0.9123711340206185,0.921875,NO
Jsoup,14,randoop,0.24676313785224677,0.13488372093023257,NO
Jsoup,14,evosuite,0.0,0.0,NO
Jsoup,15,randoop,0.2057460611677479,0.17269076305220885,NO
Jsoup,15,evosuite,0.0,0.0,NO
